# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     46     17      0      0      0      0 
    0     59     22      0      0      0      0 
    0     59     22      0      0      0      0 
    0     58     21      0      0      0      0 
    0     59     22      0      0      0      0 
    0     56     20      0      0      0      0 
    0     56     21      0      0      0      0 
    0     60     22      0      0      0      0 
    0     60     22      0      0      0      0 
    0     43     16      0      0      0      0 
    0     38     14      0      0      0      0 
    0      2      1      0      0      0      0 
    0      2      0      0      0      0      0 
    0      1      0      0      0      0      0 
    0     17      7      0      0      0      0 
    0     67     22      0      0      0      0 
    0     99      7      0      0      0      0 
    0     52     19      0      0      0      0 
    0     22      6      0      0      0      0 
    0     69     18      0      0      0      0 
    0     79     23      0      0      0      0 
    0     52     20      0      0      0      0 
    0     53     18      0      0      0      0 
    0     56     20      0      0      0      0 
    0     53     18      0      0      0      0 
    0     61     22      0      0      0      0 
    0     61     22      0      0      0      0 
    0     66     24      0      0      0      0 
    0     43     16      0      0      0      0 
    0     58     21      0      0      0      0 
    0     59     22      0      0      0      0 
    0     45     16      0      0      0      0 
    0     48     16      0      0      0      0 
    0     49     18      0      0      0      0 
    0     48     17      0      0      0      0 
    0     53     19      0      0      0      0 
    0     47     18      0      0      0      0 
    0     63     24      0      0      0      0 
    0     49     18      0      0      0      0 
    0     49     18      0      0      0      0 
    0     49     16      0      0      0      0 
    0     52     20      0      0      0      0 
    0     96     38      0      0      0      0 
    0     82     32      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     29     11      0      0      0      0 
    0      0      0      0      0      0      0 
    0      6      0      0      0      0      0 
    0     51     19      0      0      0      0 
    0     41     15      0      0      0      0 
    0     41     15      0      0      0      0 
    0     48     18      0      0      0      0 
    0     61     22      0      0      0      0 
    0     58     21      0      0      0      0 
    0     47     17      0      0      0      0 
    0     58     20      0      0      0      0 
    0     62     23      0      0      0      0 
    0     61     22      0      0      0      0 
    0     63     22      0      0      0      0 
    0     54     17      0      0      0      0 
    0     39     14      0      0      0      0 
